2008-10-25,PHI,NJD,2,2
2008-10-24,FLA,SJS,4,3
2008-10-24,DET,ATL,5,3
2008-10-24,STL,LAK,0,4
2008-10-24,CBJ,NYR,1,3
2008-10-24,OTT,ANA,3,4
2008-10-24,NJD,PHI,3,6
2008-10-23,PIT,CAR,4,1
2008-10-23,COL,EDM,4,1
2008-10-23,PHX,WSH,2,1
2008-10-23,NSH,CGY,3,5
2008-10-23,BOS,TOR,2,4
2008-10-23,MIN,BUF,3,3
2008-10-23,NYI,DAL,3,5
2008-10-22,CHI,EDM,3,0
2008-10-22,STL,DET,3,4
2008-10-22,OTT,FLA,1,3
2008-10-22,NJD,DAL,5,0
2008-10-22,PHI,SJS,6,6
2008-10-21,TBL,ATL,2,2
2008-10-21,CGY,WSH,2,1
2008-10-21,BUF,BOS,2,2
2008-10-21,TOR,ANA,2,2
2008-10-21,CBJ,VAN,4,2
2008-10-20,LAK,COL,3,4
2008-10-20,MTL,FLA,3,1
2008-10-20,BOS,PIT,1,1
2008-10-20,NYR,DAL,1,2
2008-10-19,CHI,VAN,4,2
2008-10-19,ANA,CAR,1,3
2008-10-18,EDM,CGY,3,2
2008-10-18,STL,CHI,3,3
2008-10-18,TBL,MIN,0,0
2008-10-18,SJS,PHI,4,4
2008-10-18,DET,NYR,4,4
2008-10-18,WSH,NJD,3,3
2008-10-18,MTL,PHX,4,1
2008-10-18,NSH,CBJ,6,3
2008-10-18,ATL,BUF,2,2
2008-10-18,OTT,BOS,2,4
2008-10-18,FLA,NYI,2,0
2008-10-18,DAL,COL,4,5
2008-10-17,LAK,CAR,3,3
2008-10-17,BUF,VAN,5,2
2008-10-17,CBJ,NSH,5,3
2008-10-17,OTT,PHX,6,3
2008-10-17,CGY,EDM,3,4
2008-10-17,NYR,TOR,0,0
2008-10-17,ANA,SJS,4,0
2008-10-16,DET,VAN,3,3
2008-10-16,PIT,WSH,3,4
2008-10-16,STL,DAL,6,1
2008-10-16,TBL,NYI,3,3
2008-10-16,FLA,MIN,2,6
2008-10-16,ATL,NJD,0,1
2008-10-16,COL,PHI,5,2
2008-10-15,MTL,BOS,3,3
2008-10-15,CHI,PHX,4,1
2008-10-15,DAL,NSH,6,4
2008-10-15,NYR,BUF,1,3
2008-10-15,ANA,EDM,2,3
2008-10-14,CGY,COL,5,4
2008-10-14,LAK,ANA,6,3
2008-10-14,SJS,CBJ,5,2
2008-10-14,PIT,PHI,2,2
2008-10-14,ATL,MIN,2,4
2008-10-13,CHI,NSH,2,2
2008-10-13,CAR,DET,1,3
2008-10-13,NYR,NJD,4,1
2008-10-13,PHI,MTL,3,5
2008-10-13,WSH,VAN,5,1
2008-10-13,NYI,BUF,1,7
2008-10-13,TOR,STL,4,4
2008-10-12,EDM,COL,3,2
2008-10-12,LAK,SJS,0,1
2008-10-12,ANA,PHX,2,4
2008-10-11,CGY,VAN,4,4
2008-10-11,MIN,BOS,4,3
2008-10-11,PIT,NJD,1,1
2008-10-11,MIN,BOS,4,3
2008-10-11,NYI,STL,5,2
2008-10-11,PHX,CBJ,3,1
2008-10-11,PHI,NYR,3,4
2008-10-11,WSH,CHI,4,2
2008-10-11,NSH,DAL,3,1
2008-10-11,TOR,MTL,1,6
2008-10-11,SJS,LAK,3,1
2008-10-11,OTT,DET,2,3
2008-10-11,FLA,ATL,2,2
2008-10-10,STL,NSH,5,2
2008-10-10,DAL,CBJ,4,4
2008-10-10,BUF,MTL,1,1
2008-10-10,ATL,WSH,7,4
2008-10-10,NYR,CHI,4,2
2008-12-11,CBJ,NSH,1,1
2008-12-11,MTL,TBL,1,3
2008-12-10,CHI,OTT,2,0
2008-12-10,DAL,PHX,3,5
2008-12-10,DET,CGY,3,3
2008-12-10,ANA,STL,4,2
2008-12-10,NJD,PIT,4,1
2008-12-10,WSH,BOS,3,1
2008-12-10,ATL,NYR,2,2
2008-12-10,BUF,TBL,4,2
2008-12-09,MTL,CGY,4,1
2008-12-09,COL,LAK,6,1
2008-12-09,PHI,NYI,4,3
2008-12-09,NSH,VAN,1,3
2008-12-08,STL,NSH,6,3
2008-10-10,NYR,CHI,4,2
2008-10-10,CAR,FLA,6,4
2008-10-09,COL,BOS,4,5
2008-10-09,VAN,CGY,6,0
2008-10-09,SJS,ANA,4,1
2008-10-09,DET,TOR,2,3
2008-10-05,PIT,OTT,1,3
2008-10-05,NYR,TBL,2,1
2008-10-04,OTT,PIT,3,3
2008-10-04,TBL,NYR,1,2
2008-12-08,STL,NSH,6,3
2008-12-08,TOR,NYI,4,2
2008-12-08,OTT,FLA,3,3
2008-12-08,BOS,TBL,5,3
2008-12-07,NYR,CGY,0,3
2008-12-07,CHI,PHX,7,1
2008-12-07,COL,VAN,4,4
2008-12-07,CAR,WSH,3,1
2008-12-07,ANA,CBJ,5,3
2008-12-06,STL,PHX,4,3
2008-12-06,LAK,CBJ,3,0
2008-12-06,TBL,BUF,3,4
2008-12-06,TOR,WSH,1,2
2008-12-06,NSH,MIN,1,0
2008-12-06,CAR,PHI,1,1
2008-12-06,DET,CHI,4,4
2008-12-06,SJS,EDM,2,2
2008-12-06,NYI,ATL,1,5
2008-12-06,TOR,WSH,1,2
2008-12-06,NSH,MIN,1,0
2008-12-06,CAR,PHI,1,1
2008-12-06,OTT,PIT,3,2
2008-12-05,DAL,COL,1,1
2008-12-05,LAK,EDM,4,4
2008-12-05,STL,CGY,3,3
2008-12-05,MIN,VAN,1,2
2008-12-04,TBL,BOS,1,3
2008-12-04,SJS,CBJ,3,2
2008-12-04,FLA,BUF,2,1
2008-12-04,DET,VAN,6,5
2008-12-04,NSH,COL,3,2
2008-12-04,MTL,NYR,6,2
2008-12-04,PHX,TOR,6,3
2008-12-04,PHI,NJD,2,2
2008-12-04,WSH,NYI,5,2
2008-12-04,NSH,COL,3,2
2008-12-03,CHI,ANA,4,2
2008-12-03,EDM,DAL,5,2
2008-12-03,NYR,PIT,2,2
2008-12-03,MIN,STL,4,0
2008-12-03,OTT,ATL,5,1
2008-12-02,CGY,DAL,1,3
2008-12-02,PHX,LAK,4,2
2008-12-02,SJS,TOR,5,2
2008-12-02,MTL,ATL,5,4
2008-12-02,PHI,TBL,3,3
2008-12-02,WSH,FLA,3,5
2008-12-01,LAK,TOR,1,3
2008-12-01,DET,ANA,2,1
2008-12-01,BUF,NSH,0,2
2008-12-01,CBJ,VAN,3,2
